Product,Price,Sold,Ratings,Reviews,Revenue
Kindle Scribe Basic Pen Bundle Includes Kindle Scribe (16 GB) Basic Pen & Made for Amazon Clear Case,364.98,1.0,5.0,0.0,364.98
Kindle Scribe Basic Pen Bundle Includes Kindle Scribe (64 GB) Premium Pen & Made for Amazon Clear Case,444.98,3.0,4.6,1.0,1334.94
Kindle Scribe Bundle Includes Kindle Scribe (64 GB) Premium Pen and NuPro Bookcover in Black,464.98,3.0,4.4,2.0,1394.94
Kobo Clara 2E | eReader | Glare-Free 6 HD Touchscreen | ComfortLight PRO Blue Light Reduction | Adjustable Brightness | WiFi | 16GB of Storage | Carta E Ink Technology | Waterproof,138.7,1092.0,4.5,1024.0,151460.4
Kobo Elipsa 2E | eReader | 10.3 Glare-Free Touchscreen with ComfortLight PRO | Includes Kobo Stylus 2 | Adjustable Brightness | Wi-Fi | Carta E Ink Technology | 32GB of Storage,379.99,52.0,4.0,28.0,19759.48
"PocketBook Era E-Reader, Stardust Silver 16GB | 7 Glare-Free & Eye-Friendly Touch-Screen with E -Ink Technology | Waterproof | Text-to-Speech Audio- & E-Book Reader | SMARTlight & Built-in Speaker",258.38,41.0,4.1,17.0,10593.58
Kobo Libra 2 | eReader | 7 Glare Free Touchscreen | Waterproof | Adjustable Brightness and Color Temperature | Blue Light Reduction | eBooks | WiFi | 32GB of Storage | Carta E Ink Technology | Black,159.99,3230.0,4.4,1048.0,516767.7
"PocketBook Era E-Reader Sunset Copper 64GB | 7 Glare-Free & Eye-Friendly Touch-Screen with E -Ink Technology | Waterproof | Text-to-Speech, Audio- & E-Book Reader | SMARTlight & Built-in Speaker",290.94,17.0,3.9,9.0,4945.98
"Kindle Scribe Bundle Includes Kindle Scribe (32 GB), Premium Pen, and NuPro Bookcover in Black",434.98,0.0,0.0,0.0,0.0
Kobo Clara HD | eReader | 6 Glare Free Touchscreen | Adjustable Brightness & Colour Temperature | WiFi | 8GB of Storage | Carta E Ink Technology (Clara HD),115.95,6298.0,4.3,1768.0,730253.1
Soviet Attack Submarines Cold War Operations and Accidents,0.99,,4.0,8.0,
Northmen Saga: Black Stone of Vallanir: An Action & Adventure Epic Fantasy Novel,,20.0,4.0,2.0,
"Kindle Paperwhite Essentials Bundle including Kindle Paperwhite (16 GB) - Black - Without Lockscreen Ads, Leather Cover - Agave Green and Power Adapter",211.97,3.0,4.6,0.0,635.91
Kindle Scribe Essentials Bundle including Kindle Scribe (64 GB) Premium Pen Brush Print Leather Folio Cover with Magnetic Attach - Foliage Green and Power Adapter,390.07,44.0,4.6,9.0,17163.079999999998
Northmen Saga: Black Stone of Vallanir: An Action & Adventure Epic Fantasy Novel,2.99,20.0,4.0,2.0,59.8
